ID,Rent,Rent/SF,Bedrooms,Sq. Ft,Bathrooms,In-unit Washer/Dryer,Walk-In Closet,Pool,Playground,Fireplace,Dog Park,Fitness Center,Balcony,Zip Code Total Crime,Volleyball,Basketball,Tennis Court,Traffic per Intersection,
1,445, $1.16 ,0,384,1,1,0,0,0,0,0,0,0,81.95,0,0,0,124.9348,67214
2,495, $0.99 ,1,500,1,1,0,0,0,0,0,0,0,81.95,0,0,0,124.9348,67214
3,650, $0.95 ,2,683,1,1,0,0,0,0,0,0,0,81.95,0,0,0,124.9348,67214
4,850, $1.21 ,3,700,2,1,0,0,0,0,0,0,0,81.95,0,0,0,124.9348,67214
5,475, $1.24 ,0,382,1,1,1,0,0,0,0,0,0,85.71,0,0,0,120.0802,67211
6,625, $1.16 ,1,540,1,1,1,0,0,0,0,0,0,85.71,0,0,0,120.0802,67211
7,695, $1.00 ,2,698,1,1,1,0,0,0,0,0,0,85.71,0,0,0,120.0802,67211
8,1049, $1.03 ,2,1018,2,1,1,0,1,0,1,1,0,17.552,0,0,0,74.7449,67101
9,1250, $1.05 ,3,1188,2,1,1,0,1,0,1,1,0,17.552,0,0,0,74.7449,67101
10,774, $0.74 ,2,1050,2,1,0,0,1,0,0,1,1,17.552,0,0,0,74.7449,67101
11,1069, $0.90 ,3,1194,2,1,0,0,1,0,0,1,1,17.552,0,0,0,74.7449,67101
12,800, $2.19 ,0,365,1,0,0,1,0,0,1,1,0,38.87,1,0,0,25.8372,67208
13,800, $2.12 ,0,378,1,0,0,1,0,0,1,1,0,38.87,1,0,0,25.8372,67208
14,935, $2.22 ,1,421,1,0,0,1,0,0,1,1,0,38.87,1,0,0,25.8372,67208
15,935, $2.15 ,1,434,1,0,0,1,0,0,1,1,0,38.87,1,0,0,25.8372,67208
16,1200, $1.94 ,2,620,1,0,0,1,0,0,1,1,0,38.87,1,0,0,25.8372,67208
17,1200, $1.63 ,2,734,1,0,0,1,0,0,1,1,0,38.87,1,0,0,25.8372,67208
18,1200, $1.43 ,2,838,2,0,0,1,0,0,1,1,0,38.87,1,0,0,25.8372,67208
19,2000, $1.67 ,4,1200,2,0,0,1,0,0,1,1,0,38.87,1,0,0,25.8372,67208
20,525, $1.02 ,1,517,1,0,1,0,0,0,1,0,0,51.47,0,0,0,126.1628,67218
21,525, $0.58 ,1,900,1,0,1,0,0,0,0,1,0,81.95,0,0,0,124.9348,67214
22,725, $0.66 ,2,1100,1,0,1,0,0,0,0,1,0,81.95,0,0,0,124.9348,67214
23,595, $1.19 ,0,500,1,1,1,1,0,0,0,0,1,36.149,0,0,0,43.91357,67207
24,695, $1.10 ,1,630,1,1,1,1,0,0,0,0,1,36.149,0,0,0,43.91357,67207
25,835, $1.03 ,1,814,1,1,0,1,1,0,1,0,1,36.149,1,0,0,43.91357,67207
26,750, $1.04 ,1,722,1,1,1,1,1,0,1,0,1,36.149,1,0,0,43.91357,67207
27,725, $1.08 ,1,674,1,1,0,1,1,0,1,0,1,36.149,1,0,0,43.91357,67207
28,825, $0.91 ,2,908,1,1,1,1,1,0,1,0,1,36.149,1,0,0,43.91357,67207
29,1145, $0.95 ,2,1210,2,1,1,1,1,0,1,0,1,36.149,1,0,0,43.91357,67207
30,715, $1.59 ,0,450,1,1,0,1,1,0,1,0,1,36.149,1,0,0,43.91357,67207
31,600, $1.50 ,0,400,1,0,0,0,0,0,0,0,0,60.701,0,0,0,47.5,67203
32,665, $1.21 ,1,550,1,0,0,0,0,0,0,0,0,60.701,0,0,0,47.5,67203
33,745, $1.06 ,2,700,1,0,0,0,0,0,0,0,0,60.701,0,0,0,47.5,67203
34,549, $0.92 ,1,600,1,1,0,1,0,0,0,0,0,64.61,0,0,0,128.7446,67213
35,675, $1.33 ,0,508,1,0,0,1,1,0,0,0,1,60.701,0,0,0,47.5,67203
36,695, $1.02 ,1,680,1,0,0,1,1,0,0,0,1,60.701,0,0,0,47.5,67203
37,820, $0.91 ,2,900,1,0,0,1,1,0,0,0,1,60.701,0,0,0,47.5,67203
38,698, $1.27 ,1,550,1,0,0,1,0,0,1,0,0,60.701,0,1,1,47.5,67203
39,728, $1.26 ,1,578,1,0,0,1,0,1,1,0,0,60.701,0,1,1,47.5,67203
40,818, $1.19 ,2,685,1,0,0,1,0,1,1,0,0,60.701,0,1,1,47.5,67203
41,608, $1.52 ,0,400,1,0,0,1,0,1,1,0,0,60.701,0,1,1,47.5,67203
42,495, $1.41 ,0,350,1,0,1,1,0,0,0,0,0,25.556,0,0,0,52.34681,67204
43,650, $1.30 ,1,500,1,0,1,1,0,0,0,0,0,25.556,0,0,0,52.34681,67204
44,650, $1.44 ,1,450,1,0,1,1,0,0,0,0,0,25.556,0,0,0,52.34681,67204
45,685, $1.32 ,0,520,1,1,0,1,0,0,0,1,1,52.31,1,0,1,41.08746,67216
46,740, $1.17 ,1,630,1,1,0,1,0,0,0,1,1,52.31,1,0,1,41.08746,67216
47,810, $1.27 ,1,636,1,1,0,1,0,0,0,1,1,52.31,1,0,1,41.08746,67216
48,810, $0.98 ,1,827,1,1,0,1,0,0,0,1,1,52.31,1,0,1,41.08746,67216
49,785, $0.91 ,2,858,1,1,0,1,0,0,0,1,1,52.31,1,0,1,41.08746,67216
50,909, $1.06 ,2,856,2,1,0,1,0,0,0,1,1,52.31,1,0,1,41.08746,67216
51,1029, $0.93 ,2,1105,1,1,0,1,0,0,0,1,1,52.31,1,0,1,41.08746,67216
52,1160, $1.02 ,3,1140,1.5,1,0,1,0,0,0,1,1,52.31,1,0,1,41.08746,67216
53,613, $1.23 ,0,500,1,1,1,1,1,1,1,1,1,47.615,1,1,1,44.06417,67217
54,713, $1.43 ,0,500,1,1,1,1,1,1,1,1,1,47.615,1,1,1,44.06417,67217
55,703, $1.00 ,1,700,1,1,1,1,1,1,1,1,1,47.615,1,1,1,44.06417,67217
56,843, $1.20 ,1,700,1,1,1,1,1,1,1,1,1,47.615,1,1,1,44.06417,67217
57,828, $0.89 ,2,930,1.5,1,1,1,1,1,1,1,1,47.615,1,1,1,44.06417,67217
58,948, $1.02 ,2,930,1.5,1,1,1,1,1,1,1,1,47.615,1,1,1,44.06417,67217
59,613, $1.23 ,0,500,1,1,1,1,1,1,1,1,1,47.615,1,1,1,44.06417,67217
60,619, $1.46 ,0,425,1,0,1,1,0,0,1,1,1,36.149,1,0,1,43.91357,67207
